item_id,title,description,institution,course_url
oulad_AAA_2013J,Arts and Humanities - Module AAA (2013J),"Open University module in Arts and Humanities. Course duration: 268 days. This module includes various learning resources and activities including: dataplus (4), forumng (15), glossary (2), homepage (1), oucollaborate (2), oucontent (68), resource (95), subpage (6), url (18).",Open University,
oulad_AAA_2014J,Arts and Humanities - Module AAA (2014J),"Open University module in Arts and Humanities. Course duration: 269 days. This module includes various learning resources and activities including: dataplus (4), forumng (6), glossary (2), homepage (1), oucollaborate (2), oucontent (68), resource (93), subpage (6), url (20).",Open University,
oulad_BBB_2013J,Business and Management - Module BBB (2013J),"Open University module in Business and Management. Course duration: 268 days. This module includes various learning resources and activities including: forumng (19), glossary (1), homepage (1), oucollaborate (2), oucontent (3), quiz (5), resource (236), sharedsubpage (1), subpage (38), url (15).",Open University,
oulad_BBB_2014J,Business and Management - Module BBB (2014J),"Open University module in Business and Management. Course duration: 262 days. This module includes various learning resources and activities including: forumng (3), glossary (2), homepage (1), oucollaborate (3), oucontent (70), questionnaire (4), quiz (4), resource (104), subpage (10), url (6).",Open University,
oulad_BBB_2013B,Business and Management - Module BBB (2013B),"Open University module in Business and Management. Course duration: 240 days. This module includes various learning resources and activities including: forumng (17), glossary (1), homepage (1), oucontent (1), ouelluminate (1), quiz (5), resource (236), sharedsubpage (1), subpage (37), url (15).",Open University,
oulad_BBB_2014B,Business and Management - Module BBB (2014B),"Open University module in Business and Management. Course duration: 234 days. This module includes various learning resources and activities including: forumng (17), glossary (1), homepage (1), oucollaborate (1), oucontent (3), quiz (5), resource (231), sharedsubpage (1), subpage (37), url (14).",Open University,
oulad_CCC_2014J,Computing and IT - Module CCC (2014J),"Open University module in Computing and IT. Course duration: 269 days. This module includes various learning resources and activities including: forumng (9), homepage (1), oucollaborate (2), oucontent (58), page (2), quiz (16), resource (85), subpage (31), url (19).",Open University,
oulad_CCC_2014B,Computing and IT - Module CCC (2014B),"Open University module in Computing and IT. Course duration: 241 days. This module includes various learning resources and activities including: forumng (9), homepage (1), oucollaborate (2), oucontent (47), page (2), quiz (16), resource (78), subpage (28), url (13).",Open University,
oulad_DDD_2013J,Design and Innovation - Module DDD (2013J),"Open University module in Design and Innovation. Course duration: 261 days. This module includes various learning resources and activities including: externalquiz (7), forumng (16), glossary (1), homepage (1), oucollaborate (4), oucontent (13), ouwiki (4), resource (178), subpage (194), url (44).",Open University,
oulad_DDD_2014J,Design and Innovation - Module DDD (2014J),"Open University module in Design and Innovation. Course duration: 262 days. This module includes various learning resources and activities including: externalquiz (5), forumng (13), glossary (2), homepage (1), oucollaborate (5), oucontent (13), ouwiki (1), resource (169), subpage (110), url (46).",Open University,
